lodging_id,resupply_amenity_id,town_access,town,display_name,lodging_type,is_hiker_focused,validation_status,validation_confidence,source_name,source_url,validation_source_name,validation_source_url,validation_date,lodging_notes,food_on_site,laundry,mail_drop_status,booking_notes
catamount_motel,Vt. 9:14.3,Bennington,Bennington,Catamount Motel,motel,FALSE,validated,high,Maintainer lodging research 2026-05-20,https://www.catamountmotel.com/,Catamount Motel,https://www.catamountmotel.com/,2026-05-20,Current Bennington motel candidate; verify availability directly,FALSE,FALSE,unknown,Advisory lodging context only
knotty_pine_motel,Vt. 9:14.3,Bennington,Bennington,Knotty Pine Motel,motel,FALSE,validated,high,Maintainer lodging research 2026-05-20,https://knottypinemotel.com/contact.html,Knotty Pine Motel,https://knottypinemotel.com/contact.html,2026-05-20,Current Bennington motel candidate; verify availability directly,FALSE,FALSE,unknown,Advisory lodging context only
aspen_at_manchester,Vt. 11/30:54.4,Manchester Center,Manchester Center,Aspen at Manchester,motel,FALSE,validated,high,Maintainer lodging research 2026-05-20,https://aspenvt.com/contact/,Aspen at Manchester,https://aspenvt.com/contact/,2026-05-20,Current Manchester lodging candidate; verify availability directly,FALSE,FALSE,unknown,Advisory lodging context only
chalet_motel,Vt. 11/30:54.4,Manchester Center,Manchester Center,The Chalet Motel,motel,FALSE,validated,high,Maintainer lodging research 2026-05-20,https://www.thechaletmotel.com/,The Chalet Motel,https://www.thechaletmotel.com/,2026-05-20,Current Manchester lodging candidate; verify availability directly,FALSE,FALSE,unknown,Advisory lodging context only
mountain_meadows_lodge,U.S. 4:104.2,Inn at Long Trail / Rutland,Killington,Mountain Meadows Lodge,lodge,FALSE,validated,high,Maintainer lodging research 2026-05-20,https://mountainmeadowslodge.com/,Mountain Meadows Lodge,https://mountainmeadowslodge.com/,2026-05-20,Current Killington lodging candidate near Kent Pond and US 4; verify access and availability directly,FALSE,FALSE,unknown,Advisory lodging context only
brandon_inn,Vt. 73:124.1,Rochester / Brandon,Brandon,The Brandon Inn,inn,FALSE,validated,high,Maintainer lodging research 2026-05-20,https://www.thebrandoninn.com/,The Brandon Inn,https://www.thebrandoninn.com/,2026-05-20,Current Brandon lodging candidate; verify access and availability directly,FALSE,FALSE,unknown,Advisory lodging context only
chipman_inn,Vt. 125:134.0,Hancock / Ripton / Middlebury,Ripton,Chipman Inn,inn,FALSE,validated,high,Maintainer lodging research 2026-05-20,https://www.chipmaninn.com/,Chipman Inn,https://www.chipmaninn.com/,2026-05-20,Current Ripton lodging candidate near Middlebury Gap corridor; verify access and availability directly,FALSE,FALSE,unknown,Advisory lodging context only
hostel_tevere_lincoln_gap,Lincoln Gap:151.3,Lincoln / Warren / Bristol,Warren,Hostel Tevere,hostel,TRUE,validated,high,Maintainer lodging research 2026-05-20,https://hosteltevere.com/,Hostel Tevere,https://hosteltevere.com/,2026-05-20,Current Warren and Mad River Valley hostel candidate; verify access and availability directly,TRUE,FALSE,unknown,Advisory lodging context only
west_hill_house_bb,Lincoln Gap:151.3,Lincoln / Warren / Bristol,Warren,West Hill House B&B,bed_and_breakfast,FALSE,validated,high,Maintainer lodging research 2026-05-20,https://westhillbb.com/,West Hill House B&B,https://westhillbb.com/,2026-05-20,Current Warren lodging candidate; verify access and availability directly,FALSE,FALSE,unknown,Advisory lodging context only
mad_river_inn,Vt. 17:162.9,Waitsfield,Waitsfield,Mad River Inn,inn,FALSE,validated,medium-high,Maintainer lodging research 2026-05-20,https://www.madriverinn.com/,Mad River Inn,https://www.madriverinn.com/,2026-05-20,Current Waitsfield lodging candidate; verify access and availability directly,FALSE,FALSE,unknown,Advisory lodging context only
